Fragment,# Voices,Voice 0,Voice 1,Voice 2,Voice 3,Voice 4 (F),Voice 5,Voice 6 (F),Voice 7,Voice 8,Voice 9,Voice 10,Voice 11,Voice 12 (F),Voice 13,Summary,Eval
140,12,SAM launch,SAM launch,SAM launch,SAM,SAM launch,SAM,missile,SAM launch,valid launch,SAM launch,SAM launch,SAM launch,,,SAM launch,
141,12,"be advised, SAM activity reported in your vicinity","be advised, SAM activity reported in your vicinity","be advised, SAM activity reported in your vicinity","be advised, SAM activity reported in your vicinity","be advised, SAM activity reported in your vicinity","be advised, SAM activity reported in your vicinity","be advised, SAM activity reported in your vicinity","be advised, SAM activity reported in your vicinity","be advised, SAM activity reported in your vicinity","be advised, SAM activity reported in your vicinity","be advised, SAM activity reported in your vicinity","heads up, SAM activity reported in your vicinity",,,,
142,12,sanitize LZ,sanitize LZ,clear the LZ,clear the LZ,sanitize LZ,sanitize LZ,sanitize LZ,clear the LZ,clear the LZ,sanitize LZ,sanitize LZ,sanitize the LZ,,,,
143,12,SAR package enroute,SAR package enroute,SAR package enroute,SAR package enroute,SAR package enroute,SAR package enroute,SAR package enroute,SAR package enroute,SAR package enroute,SAR package enroute,SAR package enroute,SAR package enroute,,,,
144,12,send in the choppers,send in the choppers,send in the choppers,send in the choppers,send in the choppers,send in the choppers,send in the choppers,send in the choppers,send in the choppers,send in the choppers,send in the choppers,send in the choppers,,,,
145,12,send damage report,send damage report,send damage report,send damage report,send damage report,send damage report,send damage report,send damage report,send damage report,send damage report,send damage report,send damage report,,,,
146,12,"data-linking SEAD threat, kill it","data-linking SEAD threat, kill it","data-linking SEAD threat, you know what to do","data-linking SEAD threat, knock it out","data-linking SEAD threat, kill it","data-linking SEAD threat, kill it","data-linking SEAD threat, kill it","data-linking SEAD threat, you know what to do","data-linking SEAD threat, knock it out","data-linking SEAD threat, take it out","data-linking SEAD threat, kill it","data-linking SEAD threat, put the hurt on him",,,,
147,12,send me your target,send me your target,give me your target,send me your target,send me your target,send me your target,send me your target,give me your target,send me your target,send me your target,send me your target,send me your target,,,,
148,12,you are shooter,you are shooter,you are shooter,you are shooter,you are shooter,you are shooter,you are shooter,you are shooter,you are shooter,you are shooter,you are shooter,you are shooter,,,,
149,12,I can't keep up,I can't keep up,how fast are you going,you're losing me,I can't keep up,pull it back,"pull it back, I can't keep up",how fast are you going,you're losing me,"pull it back, I can't keep up","pull it back, you're losing me",I can't keep up,,,,
150,12,sorting,targetting,sorting,targetting,sorting,targetted,sorting,sorting,sorting,sorting,sorting,sorting,,,sorting,
151,12,stabilise,stabilise,stabilise,stabilise,stabilise,stabilise,stabilise,stabilise,stabilise,stabilise,stabilise,stabilise,,,stabilise,
152,12,stack high,stack high,stack high,stack high,stack high,stack high,stack high,stack high,stack high,stack high,stack high,stack high,,,stack high,
153,12,stack level,stack level,stack level,stack level,stack level,stack level,stack level,stack level,stack level,stack level,stack level,stack level,,,stack level,
154,12,stack low,stack low,stack low,stack low,stack low,stack low,stack low,stack low,stack low,stack low,stack low,stack low,,,stack low,
155,12,what is status?,what is status?,say status,say status,what is status?,what is status?,what is status?,say status,say status,what is status?,what is status?,what is status?,,,what is status?,
156,12,stranger,stranger,stranger,stranger,stranger,stranger,stranger,stranger,stranger,stranger,stranger,stranger,,,stranger,
157,12,stripping,stripping,stripping,stripping,stripping,stripping,stripping,stripping,stripping,stripping,stripping,stripping,,,stripping,
158,12,mission accomplished,mission accomplished,"good job, let's wrap it up",we earned our pay today,mission accomplished,mission accomplished,mission accomplished,"good job, let's wrap it up",we earned our pay today,mission accomplished,mission accomplished,mission accomplished,,,mission accomplished,
159,12,TACAN off,TACAN snoozed,TACAN off,TACAN switched off,TACAN off,TACAN off,TACAN snoozed,TACAN strangled,TACAN off,TACAN off,TACAN snoozed,TACAN snoozed,,,,
160,12,TACAN on,emitting,TACAN beaming,beacon on,TACAN on,TACAN on,emitting,TACAN emitting,TACAN Up,TACAN on,emitting,emitting,,,,
161,12,ready for departure off,departing off,ready for departure off,ready for departure off,ready for departure off,ready for departure off,departing off,ready for departure off,ready for departure off,ready for departure off,departing off,departing off,,,,
162,12,taking off,taking off,taking off,taking off,taking off,taking off,taking off,taking off,taking off,taking off,taking off,taking off,,,taking off,
163,12,tally,tally,tally,tally,tally,tally,tally,tally,tally,tally,tally,tally,,,tally,
164,14,bandit,bandit,bandit,bandit,bandit,bandit,bandit,bandit,bandit,bandit,bandit,bandit,bandit,bandit,bandit,19
165,12,bearing,bearing,bearing,bearing,bearing,bearing,bearing,bearing,bearing,bearing,bearing,bearing,,,bearing,
166,12,target is visual,target is visual,target is visual,target is visual,target is visual,target is visual,target is visual,target is visual,target is visual,target is visual,target is visual,target is visual,,,target is visual,
167,12,"heads up, tanker is entering turn","heads up, tanker is entering turn","heads up, tanker is entering turn","heads up, tanker is entering turn","heads up, tanker is entering turn","heads up, tanker is entering turn","heads up, tanker is entering turn","heads up, tanker is entering turn","heads up, tanker is entering turn","heads up, tanker is entering turn","heads up, tanker is entering turn","heads up, tanker is entering turn",,,,
168,12,target detected,target detected,target detected,target detected,target detected,target detected,target detected,target detected,target detected,target detected,target detected,target detected,,,target detected,
169,12,target locked,target locked,target locked,target locked,target locked,target locked,target locked,target locked,target locked,target locked,target locked,target locked,,,target locked,
170,12,taxiing,taxiing,taxiing,taxiing,taxiing,taxiing,taxiing,taxiing,taxiing,taxiing,taxiing,taxiing,,,taxiing,
171,12,"it's push time, press on","it's push time, let's go","it's push time, let's press on","it's push time, let's press on","it's push time, press on","it's push time, press on","it's push time, let's go","it's push time, let's press on","it's push time, let's press on","it's push time, press on","it's push time, let's go","it's push time, let's go",,,,
172,12,touch down,touch down,touch down,touch down,touch down,touch down,touch down,touch down,touch down,touch down,touch down,touch down,,,,2
173,14,"all runways Tango Uniform, divert to alternate field","all runways Tango Uniform, divert to alternate field","all runways are out of action, divert to alternate field","our runways are Tango Uniform, you'll have to divert to an alternate field","all runways Tango Uniform, divert to alternate field","all runways Tango Uniform, divert to alternate field","all runways Tango Uniform, divert to alternate field","all runways are out of action, divert to alternate field","our runways are Tango Uniform, you'll have to divert to an alternate field","all runways Tango Uniform, divert to alternate field","all runways Tango Uniform, divert to alternate field","all runways Tango Uniform, divert to alternate field","all runways Tango Uniform, divert to alternate field","all runways Tango Uniform, divert to alternate field",,
174,14,"divert field available, bearing","divert field available, bearing","divert field available, bearing","divert field available, bearing","divert field available, bearing","divert field available, bearing","divert field available, bearing","divert field available, bearing","divert field available, bearing","divert field available, bearing","divert field available, bearing","divert field available, bearing","divert field available, bearing","divert field available, bearing",,
